Area,Item,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes,hg/ha_yield
India,Wheat,500,18,20,3.49
India,Wheat,500,18,35,3.64
India,Wheat,500,18,50,3.64
India,Wheat,500,18,65,3.64
India,Wheat,500,22,20,3.81
India,Wheat,500,22,35,3.96
India,Wheat,500,22,50,3.96
India,Wheat,500,22,65,3.96
India,Wheat,500,25,20,4.05
India,Wheat,500,25,35,4.2
India,Wheat,500,25,50,4.2
India,Wheat,500,25,65,4.2
India,Wheat,500,28,20,3.81
India,Wheat,500,28,35,3.96
India,Wheat,500,28,50,3.96
India,Wheat,500,28,65,3.96
India,Wheat,500,31,20,3.57
India,Wheat,500,31,35,3.72
India,Wheat,500,31,50,3.72
India,Wheat,500,31,65,3.72
India,Wheat,650,18,20,3.49
India,Wheat,650,18,35,3.64
India,Wheat,650,18,50,3.64
India,Wheat,650,18,65,3.64
India,Wheat,650,22,20,3.81
India,Wheat,650,22,35,3.96
India,Wheat,650,22,50,3.96
India,Wheat,650,22,65,3.96
India,Wheat,650,25,20,4.05
India,Wheat,650,25,35,4.2
India,Wheat,650,25,50,4.2
India,Wheat,650,25,65,4.2
India,Wheat,650,28,20,3.81
India,Wheat,650,28,35,3.96
India,Wheat,650,28,50,3.96
India,Wheat,650,28,65,3.96
India,Wheat,650,31,20,3.57
India,Wheat,650,31,35,3.72
India,Wheat,650,31,50,3.72
India,Wheat,650,31,65,3.72
India,Wheat,800,18,20,4.09
India,Wheat,800,18,35,4.24
India,Wheat,800,18,50,4.24
India,Wheat,800,18,65,4.24
India,Wheat,800,22,20,4.41
India,Wheat,800,22,35,4.56
India,Wheat,800,22,50,4.56
India,Wheat,800,22,65,4.56
India,Wheat,800,25,20,4.65
India,Wheat,800,25,35,4.8
India,Wheat,800,25,50,4.8
India,Wheat,800,25,65,4.8
India,Wheat,800,28,20,4.41
India,Wheat,800,28,35,4.56
India,Wheat,800,28,50,4.56
India,Wheat,800,28,65,4.56
India,Wheat,800,31,20,4.17
India,Wheat,800,31,35,4.32
India,Wheat,800,31,50,4.32
India,Wheat,800,31,65,4.32
India,Wheat,950,18,20,4.09
India,Wheat,950,18,35,4.24
India,Wheat,950,18,50,4.24
India,Wheat,950,18,65,4.24
India,Wheat,950,22,20,4.41
India,Wheat,950,22,35,4.56
India,Wheat,950,22,50,4.56
India,Wheat,950,22,65,4.56
India,Wheat,950,25,20,4.65
India,Wheat,950,25,35,4.8
India,Wheat,950,25,50,4.8
India,Wheat,950,25,65,4.8
India,Wheat,950,28,20,4.41
India,Wheat,950,28,35,4.56
India,Wheat,950,28,50,4.56
