Area,Item,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes,hg/ha_yield
India,Wheat,500,18,20,3.499
India,Wheat,500,18,35,3.609
India,Wheat,500,18,50,3.663
India,Wheat,500,18,65,3.668
India,Wheat,500,22,20,3.751
India,Wheat,500,22,35,3.921
India,Wheat,500,22,50,3.964
India,Wheat,500,22,65,3.951
India,Wheat,500,25,20,4.049
India,Wheat,500,25,35,4.174
India,Wheat,500,25,50,4.226
India,Wheat,500,25,65,4.223
India,Wheat,500,28,20,3.812
India,Wheat,500,28,35,3.994
India,Wheat,500,28,50,3.974
India,Wheat,500,28,65,3.934
India,Wheat,500,31,20,3.581
India,Wheat,500,31,35,3.691
India,Wheat,500,31,50,3.746
India,Wheat,500,31,65,3.719
India,Wheat,650,18,20,3.484
India,Wheat,650,18,35,3.62
India,Wheat,650,18,50,3.677
India,Wheat,650,18,65,3.635
India,Wheat,650,22,20,3.797
India,Wheat,650,22,35,3.949
India,Wheat,650,22,50,3.976
India,Wheat,650,22,65,3.971
India,Wheat,650,25,20,4.062
India,Wheat,650,25,35,4.213
India,Wheat,650,25,50,4.264
India,Wheat,650,25,65,4.188
India,Wheat,650,28,20,3.795
India,Wheat,650,28,35,3.936
India,Wheat,650,28,50,3.978
India,Wheat,650,28,65,3.994
India,Wheat,650,31,20,3.567
India,Wheat,650,31,35,3.695
India,Wheat,650,31,50,3.695
India,Wheat,650,31,65,3.74
India,Wheat,800,18,20,4.112
India,Wheat,800,18,35,4.256
India,Wheat,800,18,50,4.22
India,Wheat,800,18,65,4.247
India,Wheat,800,22,20,4.414
India,Wheat,800,22,35,4.567
India,Wheat,800,22,50,4.586
India,Wheat,800,22,65,4.567
India,Wheat,800,25,20,4.67
India,Wheat,800,25,35,4.802
India,Wheat,800,25,50,4.809
India,Wheat,800,25,65,4.819
India,Wheat,800,28,20,4.366
India,Wheat,800,28,35,4.55
India,Wheat,800,28,50,4.546
India,Wheat,800,28,65,4.541
India,Wheat,800,31,20,4.162
India,Wheat,800,31,35,4.365
India,Wheat,800,31,50,4.294
India,Wheat,800,31,65,4.349
India,Wheat,950,18,20,4.04
India,Wheat,950,18,35,4.23
India,Wheat,950,18,50,4.245
India,Wheat,950,18,65,4.258
India,Wheat,950,22,20,4.431
India,Wheat,950,22,35,4.584
India,Wheat,950,22,50,4.55
India,Wheat,950,22,65,4.546
India,Wheat,950,25,20,4.676
India,Wheat,950,25,35,4.794
India,Wheat,950,25,50,4.762
India,Wheat,950,25,65,4.766
India,Wheat,950,28,20,4.382
India,Wheat,950,28,35,4.575
India,Wheat,950,28,50,4.564
India,Wheat,950,28,65,4.581
India,Wheat,950,31,20,4.157
India,Wheat,950,31,35,4.325
India,Wheat,950,31,50,4.339
India,Wheat,950,31,65,4.311
India,Wheat,1100,18,20,3.504
India,Wheat,1100,18,35,3.62
India,Wheat,1100,18,50,3.629
India,Wheat,1100,18,65,3.629
India,Wheat,1100,22,20,3.774
India,Wheat,1100,22,35,3.975
India,Wheat,1100,22,50,3.946
India,Wheat,1100,22,65,3.96
India,Wheat,1100,25,20,4.064
India,Wheat,1100,25,35,4.213
India,Wheat,1100,25,50,4.22
India,Wheat,1100,25,65,4.197
India,Wheat,1100,28,20,3.797
India,Wheat,1100,28,35,3.958
India,Wheat,1100,28,50,3.909
India,Wheat,1100,28,65,3.917
India,Wheat,1100,31,20,3.53
India,Wheat,1100,31,35,3.69
India,Wheat,1100,31,50,3.732
India,Wheat,1100,31,65,3.693
India,Rice,500,18,20,4.079
India,Rice,500,18,35,4.279
India,Rice,500,18,50,4.229
India,Rice,500,18,65,4.262
India,Rice,500,22,20,4.382
India,Rice,500,22,35,4.554
India,Rice,500,22,50,4.531
India,Rice,500,22,65,4.55
India,Rice,500,25,20,4.675
India,Rice,500,25,35,4.748
India,Rice,500,25,50,4.813
India,Rice,500,25,65,4.807
India,Rice,500,28,20,4.392
India,Rice,500,28,35,4.517
India,Rice,500,28,50,4.562
India,Rice,500,28,65,4.544
India,Rice,500,31,20,4.177
India,Rice,500,31,35,4.321
India,Rice,500,31,50,4.368
India,Rice,500,31,65,4.313
India,Rice,650,18,20,4.059
India,Rice,650,18,35,4.245
India,Rice,650,18,50,4.247
India,Rice,650,18,65,4.281
India,Rice,650,22,20,4.435
India,Rice,650,22,35,4.571
India,Rice,650,22,50,4.604
India,Rice,650,22,65,4.524
India,Rice,650,25,20,4.631
India,Rice,650,25,35,4.772
India,Rice,650,25,50,4.788
India,Rice,650,25,65,4.759
India,Rice,650,28,20,4.429
India,Rice,650,28,35,4.553
India,Rice,650,28,50,4.516
India,Rice,650,28,65,4.53
India,Rice,650,31,20,4.179
India,Rice,650,31,35,4.345
India,Rice,650,31,50,4.38
India,Rice,650,31,65,4.407
India,Rice,800,18,20,4.702
India,Rice,800,18,35,4.81
India,Rice,800,18,50,4.776
India,Rice,800,18,65,4.848
India,Rice,800,22,20,4.986
India,Rice,800,22,35,5.148
India,Rice,800,22,50,5.142
India,Rice,800,22,65,5.156
India,Rice,800,25,20,5.282
India,Rice,800,25,35,5.405
India,Rice,800,25,50,5.395
India,Rice,800,25,65,5.369
India,Rice,800,28,20,4.96
India,Rice,800,28,35,5.145
India,Rice,800,28,50,5.158
India,Rice,800,28,65,5.213
India,Rice,800,31,20,4.774
India,Rice,800,31,35,4.949
India,Rice,800,31,50,4.905
India,Rice,800,31,65,4.884
India,Rice,950,18,20,4.661
India,Rice,950,18,35,4.818
India,Rice,950,18,50,4.904
India,Rice,950,18,65,4.815
India,Rice,950,22,20,5.035
India,Rice,950,22,35,5.133
India,Rice,950,22,50,5.188
India,Rice,950,22,65,5.172
India,Rice,950,25,20,5.245
India,Rice,950,25,35,5.399
India,Rice,950,25,50,5.38
India,Rice,950,25,65,5.413
India,Rice,950,28,20,4.996
India,Rice,950,28,35,5.123
India,Rice,950,28,50,5.122
India,Rice,950,28,65,5.165
India,Rice,950,31,20,4.817
India,Rice,950,31,35,4.925
India,Rice,950,31,50,4.916
India,Rice,950,31,65,4.929
India,Rice,1100,18,20,4.129
India,Rice,1100,18,35,4.247
India,Rice,1100,18,50,4.228
India,Rice,1100,18,65,4.273
India,Rice,1100,22,20,4.423
India,Rice,1100,22,35,4.606
India,Rice,1100,22,50,4.565
India,Rice,1100,22,65,4.523
India,Rice,1100,25,20,4.609
India,Rice,1100,25,35,4.85
India,Rice,1100,25,50,4.852
India,Rice,1100,25,65,4.795
India,Rice,1100,28,20,4.399
India,Rice,1100,28,35,4.604
India,Rice,1100,28,50,4.527
India,Rice,1100,28,65,4.533
India,Rice,1100,31,20,4.189
India,Rice,1100,31,35,4.308
India,Rice,1100,31,50,4.32
India,Rice,1100,31,65,4.315
India,Maize,500,18,20,3.8
India,Maize,500,18,35,3.982
India,Maize,500,18,50,3.943
India,Maize,500,18,65,3.959
India,Maize,500,22,20,4.048
India,Maize,500,22,35,4.259
India,Maize,500,22,50,4.235
India,Maize,500,22,65,4.223
India,Maize,500,25,20,4.324
India,Maize,500,25,35,4.49
India,Maize,500,25,50,4.527
India,Maize,500,25,65,4.46
India,Maize,500,28,20,4.111
India,Maize,500,28,35,4.245
India,Maize,500,28,50,4.25
India,Maize,500,28,65,4.29
India,Maize,500,31,20,3.886
India,Maize,500,31,35,4.06
India,Maize,500,31,50,4.015
India,Maize,500,31,65,3.999
India,Maize,650,18,20,3.783
India,Maize,650,18,35,3.947
India,Maize,650,18,50,3.945
India,Maize,650,18,65,3.907
India,Maize,650,22,20,4.113
India,Maize,650,22,35,4.267
India,Maize,650,22,50,4.336
India,Maize,650,22,65,4.316
India,Maize,650,25,20,4.324
India,Maize,650,25,35,4.491
India,Maize,650,25,50,4.456
India,Maize,650,25,65,4.482
India,Maize,650,28,20,4.119
